Pokemon,cluster_p1,cluster_p2,tipo_dominante,segundo_tipo,nombre_cluster_p1,nombre_cluster_p2
Snover,5,8,grass,ice,grass,grass
Snubbull,14,1,fighting,fire,psychic,fighting
Solosis,0,7,psychic,rock,psychic,psychic
Solrock,0,7,psychic,rock,psychic,psychic
Spearow,13,6,flying,dark,flying,flying
Spewpa,15,4,bug,poison,none,poison
Spheal,3,3,water,ice,water,water
Spinarak,16,10,poison,bug,bug,bug
Spinda,14,1,psychic,fighting,psychic,fighting
Spiritomb,4,13,dark,psychic,ghost,ghost
Spoink,6,7,psychic,dark,psychic,psychic
Spritzee,0,15,psychic,fairy,psychic,psychic
Squirtle,12,3,water,ice,water,water
Stantler,6,7,psychic,electric,psychic,psychic
Staraptor,13,6,flying,fighting,flying,flying
Staravia,13,6,flying,fighting,flying,flying
Starly,13,6,flying,fighting,flying,flying
Starmie,0,3,psychic,water,psychic,water
Staryu,3,3,water,psychic,water,water
Steelix,7,5,rock,ground,rock,rock
Steelix-Mega,7,5,rock,ground,rock,rock
Stoutland,14,1,electric,dark,psychic,fighting
Stunfisk,7,11,electric,water,rock,electric
Stunky,9,0,dark,poison,dark,dark
Sudowoodo,7,5,rock,fighting,rock,rock
Suicune,3,3,water,ice,water,water
Sunflora,5,8,grass,poison,grass,grass
Sunkern,5,8,grass,poison,grass,grass
Surskit,3,3,water,bug,water,water
Swablu,13,6,flying,dragon,flying,flying
Swadloon,5,10,grass,bug,grass,bug
Swalot,4,17,poison,ghost,ghost,poison
Swampert,12,3,water,rock,water,water
Swanna,13,6,flying,water,flying,flying
Swellow,13,6,flying,fire,flying,flying
Swinub,12,2,ice,ground,water,ice
Swirlix,14,15,psychic,grass,psychic,psychic
Swoobat,6,7,psychic,flying,psychic,psychic
Sylveon,14,15,psychic,fairy,psychic,psychic
Taillow,13,6,flying,fire,flying,flying
Talonflame,13,16,fire,flying,flying,fire
Tangela,5,8,grass,poison,grass,grass
Tangrowth,5,8,grass,poison,grass,grass
Tauros,8,1,rock,fire,dragon,fighting
Teddiursa,10,1,fighting,dark,fighting,fighting
Tentacool,3,3,water,poison,water,water
Tentacruel,3,3,water,poison,water,water
Tepig,17,16,fire,rock,fire,fire
Terrakion,7,5,rock,fighting,rock,rock
Throh,1,12,fighting,rock,fighting,fighting
Thundurus,11,11,electric,dark,electric,electric
Thundurus-Therian,11,11,electric,dark,electric,electric
Timburr,1,12,fighting,rock,fighting,fighting
Tirtouga,7,3,rock,water,rock,water
Togekiss,14,15,psychic,flying,psychic,psychic
Togepi,14,15,psychic,fire,psychic,psychic
Togetic,14,15,psychic,flying,psychic,psychic
Torchic,17,16,fire,fighting,fire,fire
Torkoal,7,16,fire,rock,rock,fire
Tornadus,9,0,dark,flying,dark,dark
Tornadus-Therian,9,0,dark,flying,dark,dark
Torterra,5,8,grass,rock,grass,grass
Totodile,12,3,water,ice,water,water
Toxicroak,1,12,fighting,dark,fighting,fighting
Tranquill,13,6,flying,fire,flying,flying
Trapinch,16,5,ground,bug,bug,rock
Treecko,5,8,grass,fighting,grass,grass
Trevenant,4,13,grass,psychic,ghost,ghost
Tropius,5,8,grass,flying,grass,grass
Trubbish,4,17,poison,dark,ghost,poison
Turtwig,5,8,grass,rock,grass,grass
Tympole,3,3,water,poison,water,water
Tynamo,11,11,electric,ground,electric,electric
Typhlosion,17,16,fire,fighting,fire,fire
Tyranitar,7,5,rock,dark,rock,rock
Tyrantrum,8,5,rock,dragon,dragon,rock
Tyrogue,1,1,fighting,ground,fighting,fighting
Tyrunt,8,14,rock,dragon,dragon,dragon
Umbreon,14,1,dark,psychic,psychic,fighting
Unfezant,13,6,flying,fire,flying,flying
Unown,15,14,fire,water,none,dragon
Ursaring,10,1,fighting,dark,fighting,fighting
Uxie,6,7,psychic,electric,psychic,psychic
Vanillish,11,2,ice,psychic,electric,ice
Vanillite,11,2,ice,psychic,electric,ice
Vanilluxe,11,2,ice,psychic,electric,ice
Vaporeon,14,3,water,ice,psychic,water
Venipede,7,17,poison,bug,rock,poison
Venomoth,16,10,bug,poison,bug,bug
Venonat,16,10,poison,bug,bug,bug
Venusaur,5,8,grass,poison,grass,grass
Vespiquen,16,10,bug,flying,bug,bug
Vibrava,16,5,ground,flying,bug,rock
Victini,6,16,fire,psychic,psychic,fire
Victreebel,5,8,grass,poison,grass,grass
Vigoroth,10,1,fighting,fire,fighting,fighting
Vileplume,5,8,grass,poison,grass,grass
Virizion,5,8,grass,fighting,grass,grass
Vivillon,16,10,bug,flying,bug,bug
Volbeat,16,10,bug,flying,bug,bug
Volcanion,7,16,fire,rock,rock,fire
Volcarona,16,10,fire,bug,bug,bug
Voltorb,11,11,electric,dark,electric,electric
Vullaby,13,0,dark,flying,flying,dark
Vulpix,4,16,fire,psychic,ghost,fire
Wailmer,3,3,water,ice,water,water
Wailord,3,3,water,ice,water,water
Walrein,3,3,water,ice,water,water
Wartortle,12,3,water,ice,water,water
Watchog,10,1,fighting,dark,fighting,fighting
Weavile,9,0,dark,ice,dark,dark
Weedle,15,4,poison,bug,none,poison
Weepinbell,5,8,grass,poison,grass,grass
Weezing,4,17,poison,dark,ghost,poison
Whimsicott,5,8,grass,dark,grass,grass
Whirlipede,7,17,poison,bug,rock,poison
Whiscash,3,3,water,ground,water,water
Whismur,14,1,fire,ice,psychic,fighting
Wigglytuff,14,15,psychic,fighting,psychic,psychic
Wingull,13,6,flying,water,flying,flying
Wobbuffet,15,15,fighting,psychic,none,psychic
Woobat,6,7,psychic,flying,psychic,psychic
Wooper,3,3,water,ice,water,water
Wormadam,5,8,grass,psychic,grass,grass
Wormadam-Sandy,16,5,psychic,bug,bug,rock
Wormadam-Trash,0,10,psychic,bug,psychic,bug
Wurmple,15,4,poison,bug,none,poison
Wynaut,15,15,fighting,psychic,none,psychic
Xatu,6,7,psychic,flying,psychic,psychic
Yamask,4,13,psychic,ghost,ghost,ghost
Yanma,16,10,flying,bug,bug,bug
Yanmega,16,10,bug,flying,bug,bug
Yveltal,13,0,flying,dark,flying,dark
Zangoose,10,1,fighting,dark,fighting,fighting
Zapdos,13,6,flying,electric,flying,flying
Zebstrika,11,11,electric,psychic,electric,electric
Zekrom,8,14,electric,dragon,dragon,dragon
Zigzagoon,10,1,electric,water,fighting,fighting
Zoroark,9,0,dark,fighting,dark,dark
Zorua,9,0,dark,psychic,dark,dark
Zubat,13,6,flying,dark,flying,flying
Zweilous,8,14,dragon,dark,dragon,dragon
Zygarde,8,14,dragon,ground,dragon,dragon
